127.0.0.1 - - [10/May/2023:09:21:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/May/2023:09:21:25 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [10/May/2023:09:21:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:09:22:49 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [10/May/2023:09:23:01 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [10/May/2023:09:33:58 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [10/May/2023:09:37:30 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [10/May/2023:09:37:39 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:02 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:02 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:02 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:10 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:10 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:10 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:26 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:26 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:26 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:34 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:35 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:35 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:35 +0900] "GET /step4-choose.jsp HTTP/1.1" 200 511
